Day,Platform,Format,Topic,Hook,CTA
1,TikTok+IG Reels,Short video,3 natural phrases,Stop sounding like a textbook,Comment PDF for free phrase sheet
2,Instagram,Carousel,Interview mistakes,5 interview mistakes to avoid,Save this post
3,Instagram Stories,Poll,Biggest challenge,What is hardest for you,Vote now
4,TikTok+IG Reels,Short video,Grammar quick fix,Stop saying I am agree,Share with a friend
5,Instagram,Static post,Student win,From nervous to confident in 4 weeks,Book a trial lesson
6,TikTok+IG Reels,Short video,Self-introduction script,Use this 20-second intro in interviews,DM INTRO for template
7,Instagram Stories,BTS,Lesson prep,How I prepare a confidence lesson,Ask a question
8,TikTok+IG Reels,Short video,Workplace small talk,4 safe small-talk topics,Save for your next meeting
9,Instagram,Carousel,Power verbs,10 power verbs for work English,Comment WORK for worksheet
10,TikTok+IG Reels,Short video,Pronunciation drill,Say this clearly in meetings,Practice and tag me
11,Instagram,Static post,Lead magnet,Get the free 50 phrase PDF,Link in bio
12,TikTok+IG Reels,Short video,Vocabulary upgrade,Say this instead of very good,Share this tip
13,Instagram Stories,Question sticker,AMA,Ask me anything about English,Submit your question
14,TikTok+IG Reels,Short video,Interview-ready phrases,Master these 5 sentences today,Book your trial now
